"filename", "language", "Less", "JSON", "JavaScript", "Markdown", "XML", "TypeScript", "TypeScript React", "JSON with Comments", "HTML", "Ignore", "comment", "blank", "total"
"d:\qsa2020\04_pc\myapp\src\pages\Bas\suppType\form.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 2, 81
"d:\qsa2020\04_pc\myapp\src\pages\Bas\suppType\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 4, 88
"d:\qsa2020\04_pc\myapp\src\pages\Bas\supplier\addForm.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 5, 236
"d:\qsa2020\04_pc\myapp\src\pages\Bas\supplier\form.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 469, 0, 0, 0, 0, 6, 475
"d:\qsa2020\04_pc\myapp\src\pages\Bas\supplier\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 266, 0, 0, 0, 0, 3, 269
"d:\qsa2020\04_pc\myapp\src\pages\Bas\supplier\supplier.jsonc", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 1, 39
"d:\qsa2020\04_pc\myapp\src\pages\Bas\unit\form.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 3, 51
"d:\qsa2020\04_pc\myapp\src\pages\Bas\unit\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 2, 64
"d:\qsa2020\04_pc\myapp\src\pages\Desktop.less", "Less", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\qsa2020\04_pc\myapp\src\pages\Desktop.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 5, 264
"d:\qsa2020\04_pc\myapp\src\pages\FullFunction.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 2, 44
"d:\qsa2020\04_pc\myapp\src\pages\Funds\Reports\AccountsPayableDetail.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 2, 101
"d:\qsa2020\04_pc\myapp\src\pages\Funds\Reports\BankBalance.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 2, 106
"d:\qsa2020\04_pc\myapp\src\pages\Funds\Reports\CustomerBalance.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 2, 124
"d:\qsa2020\04_pc\myapp\src\pages\Funds\Reports\FundBalance.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 2, 88
"d:\qsa2020\04_pc\myapp\src\pages\Funds\Reports\OriDetail.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 2, 55
"d:\qsa2020\04_pc\myapp\src\pages\Funds\Reports\SuppBalance.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 4, 191
"d:\qsa2020\04_pc\myapp\src\pages\Funds\Reports\components\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 2, 45
